Слово;Часть речи;Класс;Категория источников;Количество вхождений;Источники
агрессивный;прилагательное;Злость;B;2;Датасеты, NRC EmoLex
агрессия;существительное;Злость;AB;2;NRC EmoLex, Русский семантический словарь
ад;существительное;Грусть;AB;3;Датасеты, NRC EmoLex, Алфавит эмоций
адский;прилагательное;Злость;AB;2;NRC EmoLex, Алфавит эмоций
антипатия;существительное;Злость;AB;3;NRC EmoLex, Русский семантический словарь, РуСентиЛекс
апатичный;прилагательное;Грусть;AB;2;NRC EmoLex, Алфавит эмоций
балдеть;глагол;Радость;A;2;НКРЯ, Алфавит эмоций
беда;существительное;Грусть;AB;2;Датасеты, Алфавит эмоций
бедный;прилагательное;Грусть;AB;2;Датасеты, Алфавит эмоций
бедняга;существительное;Грусть;AB;2;Датасеты, Алфавит эмоций
бедняжка;существительное;Грусть;AB;2;Датасеты, Алфавит эмоций
бедолага;существительное;Грусть;AB;2;ENRuN, Алфавит эмоций
бедствие;существительное;Грусть;AB;2;NRC EmoLex, Алфавит эмоций
без ума;существительное с предлогом;Радость;AB;2;NRC EmoLex, РуСентиЛекс
безумный;прилагательное;Злость;AB;3;Датасеты, NRC EmoLex, Алфавит эмоций
безутешность;существительное;Грусть;A;2;Русский семантический словарь, Алфавит эмоций
безысходность;существительное;Грусть;AB;3;Датасеты, Русский семантический словарь, Алфавит эмоций
бесить;глагол;Злость;AB;3;Датасеты, НКРЯ, Алфавит эмоций
беситься;глагол;Злость;A;2;НКРЯ, Алфавит эмоций
беспокоить;глагол;Страх;AB;4;Датасеты, NRC EmoLex, НКРЯ, РуСентиЛекс
беспокоиться;глагол;Страх;AB;3;Датасеты, НКРЯ, РуСентиЛекс
беспокойный;прилагательное;Страх;AB;2;NRC EmoLex, РуСентиЛекс
беспокойство;существительное;Страх;AB;4;Датасеты, NRC EmoLex, Русский семантический словарь, РуСентиЛекс
бесшабашный;прилагательное;Радость;AB;2;NRC EmoLex, Алфавит эмоций
бешенство;существительное;Злость;AB;4;Датасеты, НКРЯ, Русский семантический словарь, Алфавит эмоций
бешеный;прилагательное;Злость;AB;2;NRC EmoLex, Алфавит эмоций
благоговение;существительное;Радость;AB;3;NRC EmoLex, Русский семантический словарь, РуСентиЛекс
благодарность;существительное;Радость;AB;4;NRC EmoLex, НКРЯ, Русский семантический словарь, РуСентиЛекс
благодарный;прилагательное;Радость;AB;3;Датасеты, NRC EmoLex, РуСентиЛекс
благодушие;существительное;Радость;A;2;НКРЯ, Русский семантический словарь
благой;прилагательное;Радость;AB;2;Датасеты, Алфавит эмоций
благорасположение;существительное;Радость;A;2;Русский семантический словарь, РуСентиЛекс
благословенный;прилагательное;Радость;AB;2;NRC EmoLex, Алфавит эмоций
благотворный;прилагательное;Радость;AB;2;NRC EmoLex, Алфавит эмоций
блаженный;прилагательное;Радость;AB;3;NRC EmoLex, РуСентиЛекс, Алфавит эмоций
блаженство;существительное;Радость;AB;5;NRC EmoLex, НКРЯ, Русский семантический словарь, РуСентиЛекс, Алфавит эмоций
блаженствовать;глагол;Радость;A;2;РуСентиЛекс, Алфавит эмоций
бодрость;существительное;Радость;AB;3;Датасеты, NRC EmoLex, Алфавит эмоций
болезненность;существительное;Грусть;AB;2;NRC EmoLex, РуСентиЛекс
болезненный;прилагательное;Грусть;AB;4;Датасеты, NRC EmoLex, РуСентиЛекс, Алфавит эмоций
болеть;глагол;Грусть;AB;3;Датасеты, РуСентиЛекс, Алфавит эмоций
боль;существительное;Грусть;AB;5;Датасеты, NRC EmoLex, Русский семантический словарь, РуСентиЛекс, Алфавит эмоций
больно;наречие;Грусть;AB;3;Датасеты, NRC EmoLex, Алфавит эмоций
больной;прилагательное;Грусть;B;2;Датасеты, NRC EmoLex
боязливость;существительное;Страх;A;2;РуСентиЛекс, Алфавит эмоций
боязливый;прилагательное;Страх;A;2;РуСентиЛекс, Алфавит эмоций
боязнь;существительное;Страх;AB;5;Датасеты, НКРЯ, Русский семантический словарь, РуСентиЛекс, Алфавит эмоций
бояться;глагол;Страх;AB;4;Датасеты, НКРЯ, РуСентиЛекс, Алфавит эмоций
брезгливость;существительное;Злость;A;2;Русский семантический словарь, РуСентиЛекс
брезгливый;прилагательное;Злость;AB;2;NRC EmoLex, РуСентиЛекс
вдохновение;существительное;Радость;AB;2;NRC EmoLex, РуСентиЛекс
вдохновенье;существительное;Радость;A;2;НКРЯ, РуСентиЛекс
вдохновляться;глагол;Радость;A;2;НКРЯ, РуСентиЛекс
вера;существительное;Радость;AB;2;NRC EmoLex, РуСентиЛекс
веселить;глагол;Радость;AB;3;Датасеты, НКРЯ, Алфавит эмоций
веселиться;глагол;Радость;AB;4;Датасеты, НКРЯ, РуСентиЛекс, Алфавит эмоций
весело;наречие;Радость;AB;2;NRC EmoLex, Алфавит эмоций
веселье;существительное;Радость;AB;6;ENRuN, NRC EmoLex, НКРЯ, Русский семантический словарь, РуСентиЛекс, Алфавит эмоций
взаимность;существительное;Радость;AB;3;ENRuN, НКРЯ, Русский семантический словарь
взбадриваться;глагол;Радость;A;2;РуСентиЛекс, Алфавит эмоций
взбеленить;глагол;Злость;A;2;НКРЯ, Алфавит эмоций
взбелениться;глагол;Злость;A;2;НКРЯ, Алфавит эмоций
взбесить;глагол;Злость;A;2;НКРЯ, Алфавит эмоций
взбеситься;глагол;Злость;A;3;НКРЯ, РуСентиЛекс, Алфавит эмоций
взбодриться;глагол;Радость;A;2;РуСентиЛекс, Алфавит эмоций
взволнованность;существительное;Страх;A;2;НКРЯ, РуСентиЛекс
взволнованный;прилагательное;Страх;AB;2;NRC EmoLex, РуСентиЛекс
взволновать;глагол;Страх;A;2;НКРЯ, РуСентиЛекс
взволноваться;глагол;Страх;A;2;НКРЯ, РуСентиЛекс
взвыть;глагол;Грусть;A;2;РуСентиЛекс, Алфавит эмоций
взгрустнуть;глагол;Грусть;A;2;РуСентиЛекс, Алфавит эмоций
взорвать;глагол;Злость;AB;3;Датасеты, NRC EmoLex, Алфавит эмоций
взорваться;глагол;Злость;AB;3;NRC EmoLex, РуСентиЛекс, Алфавит эмоций
взъяриться;глагол;Злость;A;2;НКРЯ, Алфавит эмоций
вина;существительное;Грусть;AB;2;NRC EmoLex, Русский семантический словарь
вкусный;прилагательное;Радость;AB;2;NRC EmoLex, РуСентиЛекс
влюбленность;существительное;Радость;A;3;НКРЯ, Русский семантический словарь, РуСентиЛекс
возвеселиться;глагол;Радость;A;2;РуСентиЛекс, Алфавит эмоций
возликовать;глагол;Радость;A;3;НКРЯ, РуСентиЛекс, Алфавит эмоций
возмутить;глагол;Злость;AB;3;Датасеты, НКРЯ, Алфавит эмоций
возмутиться;глагол;Злость;A;3;НКРЯ, РуСентиЛекс, Алфавит эмоций
возмущать;глагол;Злость;A;2;НКРЯ, Алфавит эмоций
возмущаться;глагол;Злость;AB;4;NRC EmoLex, НКРЯ, РуСентиЛекс, Алфавит эмоций
возмущение;существительное;Злость;AB;5;NRC EmoLex, НКРЯ, Русский семантический словарь, РуСентиЛекс, Алфавит эмоций
вознегодовать;глагол;Злость;A;3;НКРЯ, РуСентиЛекс, Алфавит эмоций
возненавидеть;глагол;Злость;AB;3;Датасеты, НКРЯ, РуСентиЛекс
возрадоваться;глагол;Радость;AB;4;Датасеты, НКРЯ, РуСентиЛекс, Алфавит эмоций
возрождение;существительное;Радость;AB;2;NRC EmoLex, РуСентиЛекс
возрыдать;глагол;Грусть;A;2;РуСентиЛекс, Алфавит эмоций
волнение;существительное;Страх;AB;3;NRC EmoLex, НКРЯ, РуСентиЛекс
волновать;глагол;Страх;A;2;НКРЯ, РуСентиЛекс
волноваться;глагол;Страх;AB;4;Датасеты, NRC EmoLex, НКРЯ, РуСентиЛекс
волшебный;прилагательное;Удивление;AB;2;NRC EmoLex, Алфавит эмоций
воодушевиться;глагол;Радость;A;2;НКРЯ, РуСентиЛекс
воодушевление;существительное;Радость;A;2;НКРЯ, РуСентиЛекс
вопль;существительное;Страх;AB;3;Датасеты, NRC EmoLex, Алфавит эмоций
воскресать;глагол;Радость;A;2;РуСентиЛекс, Алфавит эмоций
воскресить;глагол;Радость;A;2;РуСентиЛекс, Алфавит эмоций
воскреснуть;глагол;Радость;A;2;РуСентиЛекс, Алфавит эмоций
воскрешать;глагол;Радость;A;2;РуСентиЛекс, Алфавит эмоций
воспрянуть;глагол;Радость;A;2;РуСентиЛекс, Алфавит эмоций
восторг;существительное;Радость;AB;6;Датасеты, NRC EmoLex, НКРЯ, Русский семантический словарь, РуСентиЛекс, Алфавит эмоций
восторгать;глагол;Радость;A;3;НКРЯ, РуСентиЛекс, Алфавит эмоций
восторгаться;глагол;Радость;A;3;НКРЯ, РуСентиЛекс, Алфавит эмоций
восторженность;существительное;Радость;A;2;Русский семантический словарь, Алфавит эмоций
восторженный;прилагательное;Радость;AB;2;NRC EmoLex, Алфавит эмоций
восхитительный;прилагательное;Радость;AB;2;NRC EmoLex, Алфавит эмоций
восхитить;глагол;Радость;A;3;НКРЯ, РуСентиЛекс, Алфавит эмоций
восхититься;глагол;Радость;A;3;НКРЯ, РуСентиЛекс, Алфавит эмоций
восхищать;глагол;Радость;A;3;НКРЯ, РуСентиЛекс, Алфавит эмоций
восхищаться;глагол;Радость;A;3;НКРЯ, РуСентиЛекс, Алфавит эмоций
восхищение;существительное;Радость;AB;5;NRC EmoLex, НКРЯ, Русский семантический словарь, РуСентиЛекс, Алфавит эмоций
восхищенный;прилагательное;Радость;AB;2;NRC EmoLex, РуСентиЛекс
вражда;существительное;Злость;AB;3;ENRuN, NRC EmoLex, Русский семантический словарь
враждебность;существительное;Злость;AB;2;NRC EmoLex, Русский семантический словарь
вредный;прилагательное;Злость;AB;2;NRC EmoLex, Алфавит эмоций
вспылить;глагол;Злость;A;2;НКРЯ, Алфавит эмоций
вспыльчивость;существительное;Злость;AB;2;ENRuN, Алфавит эмоций
встревоженный;прилагательное;Страх;A;2;РуСентиЛекс, Алфавит эмоций
встревожить;глагол;Страх;AB;4;Датасеты, НКРЯ, РуСентиЛекс, Алфавит эмоций
встревожиться;глагол;Страх;A;2;НКРЯ, РуСентиЛекс
встряхиваться;глагол;Радость;A;2;РуСентиЛекс, Алфавит эмоций
встряхнуться;глагол;Радость;A;2;РуСентиЛекс, Алфавит эмоций
выздоровление;существительное;Радость;AB;2;NRC EmoLex, РуСентиЛекс
выигрыш;существительное;Радость;B;2;ENRuN, NRC EmoLex
выматывать;глагол;Грусть;A;2;РуСентиЛекс, Алфавит эмоций
вымотать;глагол;Грусть;A;2;РуСентиЛекс, Алфавит эмоций
выстрадать;глагол;Грусть;A;2;НКРЯ, Алфавит эмоций
вытерпеть;глагол;Грусть;A;2;НКРЯ, Алфавит эмоций
гадливость;существительное;Злость;A;2;Русский семантический словарь, РуСентиЛекс
глушить;глагол;Удивление;AB;2;NRC EmoLex, Алфавит эмоций
гнев;существительное;Злость;AB;4;Датасеты, NRC EmoLex, Русский семантический словарь, Алфавит эмоций
гневаться;глагол;Злость;A;3;НКРЯ, РуСентиЛекс, Алфавит эмоций
гневить;глагол;Злость;A;2;НКРЯ, Алфавит эмоций
гнести;глагол;Грусть;A;2;РуСентиЛекс, Алфавит эмоций
гордиться;глагол;Радость;A;2;НКРЯ, РуСентиЛекс
гордость;существительное;Радость;AB;3;NRC EmoLex, Русский семантический словарь, РуСентиЛекс
гордый;прилагательное;Радость;AB;2;NRC EmoLex, РуСентиЛекс
горе;существительное;Грусть;AB;6;Датасеты, NRC EmoLex, НКРЯ, Русский семантический словарь, РуСентиЛекс, Алфавит эмоций
горевать;глагол;Грусть;AB;4;NRC EmoLex, НКРЯ, РуСентиЛекс, Алфавит эмоций
горестный;прилагательное;Грусть;AB;2;NRC EmoLex, Алфавит эмоций
горесть;существительное;Грусть;A;4;НКРЯ, Русский семантический словарь, РуСентиЛекс, Алфавит эмоций
горечь;существительное;Грусть;AB;5;NRC EmoLex, НКРЯ, Русский семантический словарь, РуСентиЛекс, Алфавит эмоций
горький;прилагательное;Грусть;A;2;РуСентиЛекс, Алфавит эмоций
горько;наречие;Грусть;AB;2;NRC EmoLex, Алфавит эмоций
горюшко;существительное;Грусть;A;2;НКРЯ, Алфавит эмоций
горячий;прилагательное;Злость;AB;2;NRC EmoLex, Алфавит эмоций
грозный;прилагательное;Злость;AB;2;NRC EmoLex, Алфавит эмоций
грустинка;существительное;Грусть;A;2;НКРЯ, Русский семантический словарь
грустить;глагол;Грусть;AB;4;Датасеты, НКРЯ, РуСентиЛекс, Алфавит эмоций
грустно;наречие;Грусть;AB;3;Датасеты, NRC EmoLex, Алфавит эмоций
грустный;прилагательное;Грусть;AB;2;Датасеты, Алфавит эмоций
грусть;существительное;Грусть;AB;6;Датасеты, NRC EmoLex, НКРЯ, Русский семантический словарь, РуСентиЛекс, Алфавит эмоций
губительный;прилагательное;Грусть;AB;2;NRC EmoLex, Алфавит эмоций
давить;глагол;Грусть;A;2;РуСентиЛекс, Алфавит эмоций
демонический;прилагательное;Злость;AB;2;NRC EmoLex, Алфавит эмоций
депрессивный;прилагательное;Грусть;AB;2;NRC EmoLex, Алфавит эмоций
депрессия;существительное;Грусть;AB;4;ENRuN, Датасеты, NRC EmoLex, Алфавит эмоций
дивить;глагол;Удивление;A;2;НКРЯ, Алфавит эмоций
дивиться;глагол;Удивление;A;2;НКРЯ, Алфавит эмоций
дикий;прилагательное;Удивление;AB;2;NRC EmoLex, Алфавит эмоций
дико;наречие;Удивление;AB;2;Датасеты, Алфавит эмоций
дикость;существительное;Удивление;B;2;ENRuN, NRC EmoLex
доброжелательность;существительное;Радость;AB;2;NRC EmoLex, Русский семантический словарь
довольный;прилагательное;Радость;AB;2;NRC EmoLex, Алфавит эмоций
довольство;существительное;Радость;A;4;НКРЯ, Русский семантический словарь, РуСентиЛекс, Алфавит эмоций
домучиться;глагол;Грусть;A;2;РуСентиЛекс, Алфавит эмоций
досада;существительное;Злость;AB;4;NRC EmoLex, НКРЯ, Русский семантический словарь, РуСентиЛекс
досадный;прилагательное;Злость;A;2;РуСентиЛекс, Алфавит эмоций
досадовать;глагол;Злость;A;3;НКРЯ, РуСентиЛекс, Алфавит эмоций
доставать;глагол;Грусть;A;2;РуСентиЛекс, Алфавит эмоций
достать;глагол;Грусть;AB;3;Датасеты, РуСентиЛекс, Алфавит эмоций
достоинство;существительное;Радость;AB;2;ENRuN, РуСентиЛекс
дрейфить;глагол;Страх;A;3;НКРЯ, РуСентиЛекс, Алфавит эмоций
дрожать;глагол;Страх;AB;4;Датасеты, НКРЯ, РуСентиЛекс, Алфавит эмоций
дрожь;существительное;Страх;AB;2;NRC EmoLex, РуСентиЛекс
дружба;существительное;Радость;B;2;ENRuN, NRC EmoLex
дружелюбие;существительное;Радость;AB;3;ENRuN, NRC EmoLex, Русский семантический словарь
дуться;глагол;Злость;A;3;НКРЯ, РуСентиЛекс, Алфавит эмоций
душераздирающий;прилагательное;Грусть;AB;2;Датасеты, Алфавит эмоций
дьявольский;прилагательное;Страх;AB;3;Датасеты, NRC EmoLex, Алфавит эмоций
жалеть;глагол;Грусть;A;2;НКРЯ, РуСентиЛекс
жалкий;прилагательное;Грусть;AB;3;Датасеты, NRC EmoLex, Алфавит эмоций
жалобный;прилагательное;Грусть;AB;2;NRC EmoLex, Алфавит эмоций
жалость;существительное;Грусть;AB;5;ENRuN, NRC EmoLex, НКРЯ, Русский семантический словарь, РуСентиЛекс
жгучий;прилагательное;Грусть;A;2;РуСентиЛекс, Алфавит эмоций
желчность;существительное;Злость;A;2;Русский семантический словарь, Алфавит эмоций
жёлчность;существительное;Злость;A;2;Русский семантический словарь, Алфавит эмоций
желчь;существительное;Злость;AB;5;ENRuN, NRC EmoLex, НКРЯ, Русский семантический словарь, Алфавит эмоций
жёлчь;существительное;Злость;A;2;Русский семантический словарь, Алфавит эмоций
жертва;существительное;Грусть;AB;2;NRC EmoLex, Алфавит эмоций
жестокий;прилагательное;Злость;B;2;Датасеты, NRC EmoLex
жестоко;наречие;Злость;B;2;Датасеты, NRC EmoLex
жестокость;существительное;Злость;B;2;ENRuN, NRC EmoLex
жечь;глагол;Грусть;A;2;РуСентиЛекс, Алфавит эмоций
живой;прилагательное;Радость;AB;2;NRC EmoLex, Алфавит эмоций
жуткий;прилагательное;Страх;AB;2;Датасеты, Алфавит эмоций
жутко;наречие;Страх;AB;2;Датасеты, Алфавит эмоций
жуть;существительное;Страх;AB;4;Датасеты, НКРЯ, Русский семантический словарь, Алфавит эмоций
забава;существительное;Радость;AB;2;ENRuN, Алфавит эмоций
забавный;прилагательное;Радость;AB;2;Датасеты, Алфавит эмоций
забеспокоиться;глагол;Страх;A;2;НКРЯ, РуСентиЛекс
забота;существительное;Радость;AB;2;ENRuN, Русский семантический словарь
забояться;глагол;Страх;A;2;РуСентиЛекс, Алфавит эмоций
зависть;существительное;Злость;AB;4;Датасеты, НКРЯ, Русский семантический словарь, РуСентиЛекс
заволноваться;глагол;Страх;A;2;НКРЯ, РуСентиЛекс
загадочный;прилагательное;Страх;AB;3;Датасеты, NRC EmoLex, Алфавит эмоций
загоревать;глагол;Грусть;A;2;РуСентиЛекс, Алфавит эмоций
загрустить;глагол;Грусть;A;3;НКРЯ, РуСентиЛекс, Алфавит эмоций
задор;существительное;Радость;A;2;РуСентиЛекс, Алфавит эмоций
задорный;прилагательное;Радость;A;2;РуСентиЛекс, Алфавит эмоций
заинтересованность;существительное;Удивление;A;2;РуСентиЛекс, Алфавит эмоций
заинтересовать;глагол;Удивление;A;2;НКРЯ, Алфавит эмоций
закручиниться;глагол;Грусть;A;3;НКРЯ, РуСентиЛекс, Алфавит эмоций
заледенеть;глагол;Страх;A;2;РуСентиЛекс, Алфавит эмоций
замучиваться;глагол;Грусть;A;2;РуСентиЛекс, Алфавит эмоций
замучиться;глагол;Грусть;A;2;РуСентиЛекс, Алфавит эмоций
занимательный;прилагательное;Удивление;AB;2;NRC EmoLex, Алфавит эмоций
занудный;прилагательное;Грусть;AB;2;Датасеты, Алфавит эмоций
запальчивость;существительное;Злость;A;2;Русский семантический словарь, Алфавит эмоций
запуганный;прилагательное;Страх;A;2;РуСентиЛекс, Алфавит эмоций
запугать;глагол;Страх;A;2;НКРЯ, Алфавит эмоций
запугивать;глагол;Страх;AB;3;NRC EmoLex, НКРЯ, Алфавит эмоций
заскучать;глагол;Грусть;A;2;НКРЯ, РуСентиЛекс
застенчивый;прилагательное;Страх;AB;3;NRC EmoLex, РуСентиЛекс, Алфавит эмоций
застращать;глагол;Страх;A;2;НКРЯ, Алфавит эмоций
затосковать;глагол;Грусть;A;3;НКРЯ, РуСентиЛекс, Алфавит эмоций
затравить;глагол;Грусть;AB;2;Датасеты, Алфавит эмоций
захандрить;глагол;Грусть;A;2;РуСентиЛекс, Алфавит эмоций
захватывать;глагол;Удивление;AB;2;NRC EmoLex, Алфавит эмоций
звезда;существительное;Радость;AB;2;NRC EmoLex, Алфавит эмоций
злеть;глагол;Злость;A;2;РуСентиЛекс, Алфавит эмоций
злить;глагол;Злость;AB;3;Датасеты, НКРЯ, Алфавит эмоций
злиться;глагол;Злость;AB;4;Датасеты, НКРЯ, РуСентиЛекс, Алфавит эмоций
зло;существительное;Злость;AB;4;NRC EmoLex, НКРЯ, Русский семантический словарь, Алфавит эмоций
злоба;существительное;Злость;AB;6;Датасеты, NRC EmoLex, НКРЯ, Русский семантический словарь, РуСентиЛекс, Алфавит эмоций
злобиться;глагол;Злость;A;3;НКРЯ, РуСентиЛекс, Алфавит эмоций
злобность;существительное;Злость;A;2;РуСентиЛекс, Алфавит эмоций
злобный;прилагательное;Злость;AB;3;Датасеты, NRC EmoLex, Алфавит эмоций
злобствование;существительное;Злость;A;2;РуСентиЛекс, Алфавит эмоций
злобствовать;глагол;Злость;A;2;РуСентиЛекс, Алфавит эмоций
зловещий;прилагательное;Злость;AB;2;NRC EmoLex, Алфавит эмоций
злодей;существительное;Злость;AB;2;NRC EmoLex, Алфавит эмоций
злодейский;прилагательное;Злость;AB;2;NRC EmoLex, Алфавит эмоций
злодейство;существительное;Злость;AB;2;ENRuN, Алфавит эмоций
злой;прилагательное;Злость;AB;3;Датасеты, NRC EmoLex, Алфавит эмоций
злонамеренный;прилагательное;Злость;AB;2;NRC EmoLex, Алфавит эмоций
злорадный;прилагательное;Злость;AB;2;Датасеты, Алфавит эмоций
злорадство;существительное;Злость;A;4;НКРЯ, Русский семантический словарь, РуСентиЛекс, Алфавит эмоций
злорадствовать;глагол;Злость;AB;4;Датасеты, НКРЯ, РуСентиЛекс, Алфавит эмоций
злость;существительное;Злость;AB;6;Датасеты, NRC EmoLex, НКРЯ, Русский семантический словарь, РуСентиЛекс, Алфавит эмоций
злюка;существительное;Злость;AB;2;Датасеты, Алфавит эмоций
